trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.55, 'e': 0.6505090947233165}",20,0,-111.37281811092318,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
43,False,"{'a': 0.55, 'e': 0.6440364210831414}",20,14,9.883310413984468,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.55, 'e': 0.6376281516217732}",20,0,13.938879648350694,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.55, 'e': 0.631283645506926}",25,0,-42.57972175787757,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
46,False,"{'a': 0.55, 'e': 0.6250022682827008}",25,7,-40.815394133912626,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 0}",1
47,False,"{'a': 0.55, 'e': 0.6187833918061408}",20,0,-28.06520335580522,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.55, 'e': 0.6126263941844161}",35,17,-66.1303849930594,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
49,False,"{'a': 0.55, 'e': 0.6065306597126334}",20,0,-10.817869600706546,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.55, 'e': 0.6004955788122659}",25,15,0.6484841229005984,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.55, 'e': 0.5945205479701943}",30,8,-64.12838696178832,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 1}",1
52,False,"{'a': 0.55, 'e': 0.5886049696783552}",25,0,-80.66587699755203,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",1
53,False,"{'a': 0.55, 'e': 0.5827482523739896}",20,0,-49.45756363549445,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
54,False,"{'a': 0.55, 'e': 0.5769498103804866}",20,1,-63.94828699402245,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 1}",1
55,False,"{'a': 0.55, 'e': 0.5712090638488149}",25,5,-13.197211619960223,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
56,False,"{'a': 0.55, 'e': 0.5655254386995371}",20,11,-39.761029451309966,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.55, 'e': 0.559898366565402}",30,14,14.392628551810866,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.55, 'e': 0.554327284734507}",25,0,-85.54568588658086,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.55, 'e': 0.5488116360940265}",30,1,-48.01340046873823,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 0}",1
60,False,"{'a': 0.55, 'e': 0.5433508690744998}",20,0,-123.66449243631381,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
61,False,"{'a': 0.55, 'e': 0.5379444375946745}",20,6,12.449327944100903,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.55, 'e': 0.5325918010068972}",30,13,-107.30847680937191,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 2}",1
63,False,"{'a': 0.55, 'e': 0.5272924240430485}",35,4,-154.004645335484,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 4}",1
64,False,"{'a': 0.55, 'e': 0.522045776761016}",20,13,12.145953501852894,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.55, 'e': 0.5168513344916992}",25,0,-77.58436687279838,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
66,False,"{'a': 0.55, 'e': 0.5117085777865424}",25,0,-52.54260993131904,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
67,False,"{'a': 0.55, 'e': 0.5066169923655895}",30,23,4.5910114040038295,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.55, 'e': 0.5015760690660555}",35,14,-25.849215474304135,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 0}",1
69,False,"{'a': 0.55, 'e': 0.49658530379140947}",25,12,-14.70057939507631,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.55, 'e': 0.4916441974609651}",25,0,-7.085039908007328,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
